ID,down,initial,up,YY,YN,NY,NN,NNY,NNN,No,Yes,income,male,age,c_water,I_P_water,I_P_sw_water,Clean_water,Se_service,I_sw_water,Smell,F_sw_water,I_sw_water,N_sw_water,E_health,E_water,E_ecosystem,E_smell,P_sw_water,P_water
2072,25000,50000,100000,0,0,0,1,1,0,1,0,450,0,26,4,4,1,5,5,1.833333333,4,3,2,5,4,5,3,5,2,0
2073,13500,27000,54000,1,0,0,0,0,0,0,1,450,1,42,4,3,3,4,5,1.333333333,3,4,3,4,3,4,4,4,3,0
2074,45000,90000,180000,0,0,1,0,0,0,1,0,890,0,34,4,4,4,5,5,1.333333333,4,3,3,5,4,4,4,5,4,0
2075,7500,15000,30000,1,0,0,0,0,0,0,1,600,1,54,4,4,4,5,5,1,2,4,4,5,5,5,5,4,4,1
2076,25000,50000,100000,0,0,0,1,0,1,1,0,390,0,47,3,4,4,5,4,2,4,3,3,4,3,3,3,4,3,0
2077,25000,50000,100000,0,0,0,1,0,1,1,0,420,0,40,4,4,4,5,5,2,4,3,4,4,5,4,5,4,3,0
2078,7500,15000,30000,0,1,0,0,0,0,0,1,300,1,36,4,5,5,5,5,1,2,3,4,4,4,3,3,4,3,1
2079,45000,90000,180000,0,1,0,0,0,0,0,1,800,0,34,4,4,4,5,5,2,2,4,2,4,4,5,5,5,4,0
2080,13500,27000,54000,1,0,0,0,0,0,0,1,880,1,40,5,5,5,5,5,1,4,3,4,5,4,5,5,4,3,0
2081,13500,27000,54000,0,1,0,0,0,0,0,1,590,1,34,4,4,4,4,3,1.5,4,3,2,4,4,4,4,5,5,0
2082,13500,27000,54000,0,0,1,0,0,0,1,0,150,0,55,5,5,5,5,5,2,4,3,4,5,5,5,5,5,4,1
2083,7500,15000,30000,1,0,0,0,0,0,0,1,480,0,48,3,3,3,4,3,1.333333333,3,3,3,3,3,4,3,4,3,0
2084,4500,9000,18000,0,0,0,1,0,1,1,0,170,0,34,3,4,4,4,5,2,3,3,2,4,3,4,5,5,3,0
2085,7500,15000,30000,1,0,0,0,0,0,0,1,310,1,45,5,3,4,5,4,1,2,3,3,5,4,4,4,4,3,1
2086,4500,9000,18000,0,1,0,0,0,0,0,1,410,1,53,5,4,4,5,4,1.666666667,4,3,4,5,5,5,5,5,2,0
2087,7500,15000,30000,0,0,0,1,0,1,1,0,890,1,41,5,5,3,4,5,1.5,3,4,4,4,4,5,3,5,3,0
2088,7500,15000,30000,0,0,0,1,0,1,1,0,450,1,52,4,4,4,4,4,1.166666667,3,3,3,4,4,4,4,4,2,0
2089,4500,9000,18000,0,0,0,1,0,1,1,0,650,0,50,4,4,5,4,5,1,2,4,4,4,4,4,5,5,4,1
2090,25000,50000,100000,0,0,0,1,0,1,1,0,300,0,34,2,4,3,4,4,2,1,4,2,5,5,5,4,3,3,0
2091,7500,15000,30000,0,1,0,0,0,0,0,1,230,1,33,4,4,4,4,4,1.333333333,2,3,3,4,4,4,5,5,3,0
2092,4500,9000,18000,0,0,0,1,0,1,1,0,520,1,37,4,4,4,4,5,1.5,2,4,4,4,5,5,4,5,3,0
2093,45000,90000,180000,0,0,0,1,1,0,1,0,400,1,49,4,4,4,4,3,1.5,4,3,4,4,4,3,3,4,4,0
2094,7500,15000,30000,0,0,0,1,1,0,1,0,450,0,28,4,4,4,5,4,1,2,3,4,4,4,4,4,4,3,1
2095,45000,90000,180000,0,0,0,1,0,1,1,0,350,0,45,4,4,3,4,4,1.666666667,2,4,4,4,4,4,5,5,3,0
2096,7500,15000,30000,0,0,0,1,1,0,1,0,520,1,53,5,2,5,2,3,1.5,4,3,3,2,3,2,4,4,3,1
